,City,Type,Place,Timestamp,current_popularity,popularity_mo_0,popularity_mo_1,popularity_mo_2,popularity_mo_3,popularity_mo_4,popularity_mo_5,popularity_mo_6,popularity_mo_7,popularity_mo_8,popularity_mo_9,popularity_mo_10,popularity_mo_11,popularity_mo_12,popularity_mo_13,popularity_mo_14,popularity_mo_15,popularity_mo_16,popularity_mo_17,popularity_mo_18,popularity_mo_19,popularity_mo_20,popularity_mo_21,popularity_mo_22,popularity_mo_23,popularity_tu_0,popularity_tu_1,popularity_tu_2,popularity_tu_3,popularity_tu_4,popularity_tu_5,popularity_tu_6,popularity_tu_7,popularity_tu_8,popularity_tu_9,popularity_tu_10,popularity_tu_11,popularity_tu_12,popularity_tu_13,popularity_tu_14,popularity_tu_15,popularity_tu_16,popularity_tu_17,popularity_tu_18,popularity_tu_19,popularity_tu_20,popularity_tu_21,popularity_tu_22,popularity_tu_23,popularity_wed_0,popularity_wed_1,popularity_wed_2,popularity_wed_3,popularity_wed_4,popularity_wed_5,popularity_wed_6,popularity_wed_7,popularity_wed_8,popularity_wed_9,popularity_wed_10,popularity_wed_11,popularity_wed_12,popularity_wed_13,popularity_wed_14,popularity_wed_15,popularity_wed_16,popularity_wed_17,popularity_wed_18,popularity_wed_19,popularity_wed_20,popularity_wed_21,popularity_wed_22,popularity_wed_23,popularity_th_0,popularity_th_1,popularity_th_2,popularity_th_3,popularity_th_4,popularity_th_5,popularity_th_6,popularity_th_7,popularity_th_8,popularity_th_9,popularity_th_10,popularity_th_11,popularity_th_12,popularity_th_13,popularity_th_14,popularity_th_15,popularity_th_16,popularity_th_17,popularity_th_18,popularity_th_19,popularity_th_20,popularity_th_21,popularity_th_22,popularity_th_23,popularity_fr_0,popularity_fr_1,popularity_fr_2,popularity_fr_3,popularity_fr_4,popularity_fr_5,popularity_fr_6,popularity_fr_7,popularity_fr_8,popularity_fr_9,popularity_fr_10,popularity_fr_11,popularity_fr_12,popularity_fr_13,popularity_fr_14,popularity_fr_15,popularity_fr_16,popularity_fr_17,popularity_fr_18,popularity_fr_19,popularity_fr_20,popularity_fr_21,popularity_fr_22,popularity_fr_23,popularity_sat_0,popularity_sat_1,popularity_sat_2,popularity_sat_3,popularity_sat_4,popularity_sat_5,popularity_sat_6,popularity_sat_7,popularity_sat_8,popularity_sat_9,popularity_sat_10,popularity_sat_11,popularity_sat_12,popularity_sat_13,popularity_sat_14,popularity_sat_15,popularity_sat_16,popularity_sat_17,popularity_sat_18,popularity_sat_19,popularity_sat_20,popularity_sat_21,popularity_sat_22,popularity_sat_23,popularity_su_0,popularity_su_1,popularity_su_2,popularity_su_3,popularity_su_4,popularity_su_5,popularity_su_6,popularity_su_7,popularity_su_8,popularity_su_9,popularity_su_10,popularity_su_11,popularity_su_12,popularity_su_13,popularity_su_14,popularity_su_15,popularity_su_16,popularity_su_17,popularity_su_18,popularity_su_19,popularity_su_20,popularity_su_21,popularity_su_22,popularity_su_23,time_spent_lo,time_spent_hi
136,Köln,Supermarket,REWE Hohenzollernring,27-03-2020-11-01-52,32,0,0,0,0,0,0,0,11,19,21,21,30,44,51,48,46,51,63,71,69,57,40,23,11,0,0,0,0,0,0,0,5,12,23,35,46,52,51,46,42,46,57,64,55,36,22,21,13,0,0,0,0,0,0,0,5,11,18,27,35,40,41,37,34,39,51,56,53,52,44,23,6,0,0,0,0,0,0,0,6,12,20,29,37,42,42,39,38,45,58,67,61,47,35,25,12,0,0,0,0,0,0,0,5,11,19,26,35,44,51,57,65,77,91,100,95,80,73,68,38,0,0,0,0,0,0,0,5,10,17,26,35,44,51,57,65,77,91,100,95,80,73,68,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
137,Köln,Supermarket,REWE Richrath,26-03-2020-20-41-26,2,0,0,0,0,0,0,0,6,14,12,15,36,59,67,53,37,37,50,58,48,28,12,0,0,0,0,0,0,0,0,0,5,11,19,29,40,47,47,43,36,37,47,51,36,15,3,0,0,0,0,0,0,0,0,0,3,6,13,21,30,37,40,38,36,39,44,44,34,18,6,0,0,0,0,0,0,0,0,0,4,9,17,26,36,43,46,44,40,40,47,51,39,20,6,0,0,0,0,0,0,0,0,0,4,9,14,27,45,62,76,90,100,97,85,80,77,54,23,0,0,0,0,0,0,0,0,0,1,4,13,27,45,62,76,90,100,97,85,80,77,54,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
138,Köln,Supermarket,REWE Richrath,27-03-2020-09-00-49,15,0,0,0,0,0,0,0,6,14,12,15,36,59,67,53,37,37,50,58,48,28,12,0,0,0,0,0,0,0,0,0,5,11,19,29,40,47,47,43,36,37,47,51,36,15,3,0,0,0,0,0,0,0,0,0,3,6,13,21,30,37,40,38,36,39,44,44,34,18,6,0,0,0,0,0,0,0,0,0,4,9,17,26,36,43,46,44,40,40,47,51,39,20,6,0,0,0,0,0,0,0,0,0,4,9,14,27,45,62,76,90,100,97,85,80,77,54,23,0,0,0,0,0,0,0,0,0,1,4,13,27,45,62,76,90,100,97,85,80,77,54,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
139,Köln,Supermarket,REWE Richrath,27-03-2020-10-02-15,31,0,0,0,0,0,0,0,6,14,12,15,36,59,67,53,37,37,50,58,48,28,12,0,0,0,0,0,0,0,0,0,5,11,19,29,40,47,47,43,36,37,47,51,36,15,3,0,0,0,0,0,0,0,0,0,3,6,13,21,30,37,40,38,36,39,44,44,34,18,6,0,0,0,0,0,0,0,0,0,4,9,17,26,36,43,46,44,40,40,47,51,39,20,6,0,0,0,0,0,0,0,0,0,4,9,14,27,45,62,76,90,100,97,85,80,77,54,23,0,0,0,0,0,0,0,0,0,1,4,13,27,45,62,76,90,100,97,85,80,77,54,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
140,Köln,Supermarket,REWE Richrath,27-03-2020-11-01-13,32,0,0,0,0,0,0,0,6,14,12,15,36,59,67,53,37,37,50,58,48,28,12,0,0,0,0,0,0,0,0,0,5,11,19,29,40,47,47,43,36,37,47,51,36,15,3,0,0,0,0,0,0,0,0,0,3,6,13,21,30,37,40,38,36,39,44,44,34,18,6,0,0,0,0,0,0,0,0,0,4,9,17,26,36,43,46,44,40,40,47,51,39,20,6,0,0,0,0,0,0,0,0,0,4,9,14,27,45,62,76,90,100,97,85,80,77,54,23,0,0,0,0,0,0,0,0,0,1,4,13,27,45,62,76,90,100,97,85,80,77,54,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
141,Köln,Supermarket,REWE Waidmarkt,26-03-2020-20-41-28,9,0,0,0,0,0,0,0,8,25,38,40,46,59,62,53,51,66,87,91,73,44,20,0,0,0,0,0,0,0,0,0,14,27,34,39,52,66,63,52,52,65,75,69,51,30,13,0,0,0,0,0,0,0,0,0,6,15,25,35,47,56,54,45,42,55,73,76,59,33,12,0,0,0,0,0,0,0,0,0,9,17,26,37,46,51,50,46,45,53,65,64,45,25,23,0,0,0,0,0,0,0,0,0,10,19,30,42,58,71,80,84,85,88,95,100,89,62,33,0,0,0,0,0,0,0,0,0,9,17,28,42,58,71,80,84,85,88,95,100,89,62,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
142,Köln,Supermarket,REWE Waidmarkt,27-03-2020-09-00-50,20,0,0,0,0,0,0,0,8,25,38,40,46,59,62,53,51,66,87,91,73,44,20,0,0,0,0,0,0,0,0,0,14,27,34,39,52,66,63,52,52,65,75,69,51,30,13,0,0,0,0,0,0,0,0,0,6,15,25,35,47,56,54,45,42,55,73,76,59,33,12,0,0,0,0,0,0,0,0,0,9,17,26,37,46,51,50,46,45,53,65,64,45,25,23,0,0,0,0,0,0,0,0,0,10,19,30,42,58,71,80,84,85,88,95,100,89,62,33,0,0,0,0,0,0,0,0,0,9,17,28,42,58,71,80,84,85,88,95,100,89,62,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
143,Köln,Supermarket,REWE Waidmarkt,27-03-2020-10-02-16,19,0,0,0,0,0,0,0,8,25,38,40,46,59,62,53,51,66,87,91,73,44,20,0,0,0,0,0,0,0,0,0,14,27,34,39,52,66,63,52,52,65,75,69,51,30,13,0,0,0,0,0,0,0,0,0,6,15,25,35,47,56,54,45,42,55,73,76,59,33,12,0,0,0,0,0,0,0,0,0,9,17,26,37,46,51,50,46,45,53,65,64,45,25,23,0,0,0,0,0,0,0,0,0,10,19,30,42,58,71,80,84,85,88,95,100,89,62,33,0,0,0,0,0,0,0,0,0,9,17,28,42,58,71,80,84,85,88,95,100,89,62,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
144,Köln,Supermarket,REWE Waidmarkt,27-03-2020-11-01-15,33,0,0,0,0,0,0,0,8,25,38,40,46,59,62,53,51,66,87,91,73,44,20,0,0,0,0,0,0,0,0,0,14,27,34,39,52,66,63,52,52,65,75,69,51,30,13,0,0,0,0,0,0,0,0,0,6,15,25,35,47,56,54,45,42,55,73,76,59,33,12,0,0,0,0,0,0,0,0,0,9,17,26,37,46,51,50,46,45,53,65,64,45,25,23,0,0,0,0,0,0,0,0,0,10,19,30,42,58,71,80,84,85,88,95,100,89,62,33,0,0,0,0,0,0,0,0,0,9,17,28,42,58,71,80,84,85,88,95,100,89,62,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
145,München,Park,Alter Botanischer Garten,26-03-2020-20-40-52,5,1,1,1,1,1,1,1,1,2,6,10,16,21,26,28,30,30,32,32,31,27,20,12,5,0,1,1,1,1,1,1,1,2,6,11,17,22,26,28,30,32,38,45,50,48,38,25,12,4,1,1,1,1,1,1,1,0,4,9,16,22,26,26,26,26,31,38,44,45,39,29,18,8,2,1,1,1,1,1,0,3,9,15,21,26,28,28,28,32,43,57,68,70,59,41,23,10,2,1,1,1,1,1,1,2,7,16,28,41,54,62,65,60,52,45,43,48,55,56,48,33,17,6,0,1,1,1,1,2,7,16,28,41,54,62,65,60,52,45,43,48,55,56,48,32,16,5,1,1,1,1,0,4,17,44,79,100,92,70,53,46,42,36,27,18,10,4,1,120,120
